Bulan;Vendor;Jenis Kendaraan;Type;Nopol;Sparepart;Jasa;PPN;Total Biaya;Keterangan;Biaya Sebelum PPN;PPN Rate;Sparepart %;Jasa %
Januari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;Mini bus;IMV;L 1929 BP;1712705;1121250;311728;3145683;Rusak Ringan;2833955;0,11;0,544462045;0,356440875
Januari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;Sedan;Camry;L 1663 PP;2359574;2951324;584200;5895098;Rusak Sedang;5310898;0,11;0,400260352;0,500640363
Januari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;Sedan;Camry;L 1164 BS;2586196;2785086;590842;5962124;Rusak Sedang;5371282;0,11;0,433770918;0,467129835
Januari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;Mini bus;IMV;L 1903 FP;1865925;1234837;341086;3441848;Rusak Ringan;3100762;0,11;0,542128821;0,358771509
Januari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;Mini bus;IMV;L 1516 QP;2147459;1112962;358648;3619069;Rusak Ringan;3260421;0,11;0,593373323;0,307527157
Januari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;Mini bus;IMV;L 1711 FP;2622208;1282612;429532;4334352;Rusak sedang;3904820;0,11;0,604982706;0,295917821
Januari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;Mini bus;IMV;L 1877 FP;3006060;1975837;548012;5529909;Rusak Sedang;4981897;0,11;0,543600265;0,357300093
Januari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;Sedan;Camry;L 1164 BS;1549459;1240687;306910;3097056;Rusak Ringan;2790146;0,11;0,500300608;0,400602056
Februari;PT. SRIKANDI DIAMOND INDAH MOTORS;Jeep;Other;L 1927 EP;1779697;1160250;323394,17;3263341,17;Rusak Ringan;2939947;0,11;0,545360386;0,355540515
Februari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;Mini bus;IMV;L 1852 PP;1912478;1121250;333696;3367424;Rusak Ringan;3033728;0,11;0,567935015;0,332969653
