L 9356 AP;Vendor;Jenis Kendaraan;Type;Nopol;Sparepart;Jasa; PPN ; Total Biaya ;Keterangan;Biaya Sebelum PPN;PPN Rate;Sparepart %;Jasa %
Februari;UD. JAYA AC;Jeep;Pajero;L 1021 ZZH;2493243;225225; Rp299.032 ; Rp3.017.500 ;Rusak Ringan;2718468;0,11;0,826261143;0,074639602
Februari;UD. JAYA AC;Mini bus;TBR54;L 9806 CP;1864865;382883; Rp247.252 ; Rp2.495.000 ;Rusak Ringan;2247748;0,11;0,747440882;0,15346012
Februari;UD. JAYA AC;Mini bus;TBR54;L 9808 CP;2814865;382883; Rp351.752 ; Rp3.549.500 ;Rusak Ringan;3197748;0,11;0,793031413;0,107869559
Februari;UD. JAYA AC;MINI BUS;KIA;L 1768 EP;7040541;518018; Rp831.441 ; Rp8.390.000 ;Rusak Sedang;7558559;0,11;0,839158641;0,061742312
Februari;UD. JAYA AC;Mini bus;IMV;;3608108;436937; Rp444.955 ; Rp4.490.000 ;Rusak sedang;4045045;0,11;0,803587528;0,097313363
Februari;PT. SRIKANDI DIAMOND INDAH MOTORS;Jeep;Pajero;L 1021 ZZH;7321645;3006875; Rp1.136.137 ; Rp11.464.657 ;Rusak Berat;10328520;0,11;0,638627468;0,262273433
Februari;PT. ASTRA INTERNATIONAL - TBK  TOYOTA VABANG BASUKI RAHMAT;Micro Bus;Hiace;L 7642 AP;2262651;1290500; Rp390.846 ; Rp3.943.997 ;Rusak Ringan;3553151;0,11;0,573694909;0,327206131
Februari;PT. ASTRA INTERNATIONAL - TBK  TOYOTA VABANG BASUKI RAHMAT;Mini bus;IMV;L 1866 FP;1501209;959500; Rp270.680 ; Rp2.731.389 ;Rusak Ringan;2460709;0,11;0,549613768;0,35128647
Februari;PT. ASTRA INTERNATIONAL - TBK  TOYOTA VABANG BASUKI RAHMAT;Mini bus;IMV;L 1977 EP;2674258;1094000; Rp414.507 ; Rp4.182.765 ;Rusak Sedang;3768258;0,11;0,639351721;0,261549477
Februari;PT. ASTRA INTERNATIONAL - TBK  TOYOTA VABANG BASUKI RAHMAT;MINI BUS;IMV;L 1761 PP;2375984;1217000; Rp395.228 ; Rp3.988.212 ;Rusak Sedang;3592984;0,11;0,59575168;0,305149275
Februari;PT. ASTRA INTERNATIONAL - TBK  TOYOTA VABANG BASUKI RAHMAT;Mini bus;IMV;L 0020 AP;2194181;1993500; Rp460.645 ; Rp4.648.326 ;Rusak sedang;4187681;0,11;0,472036815;0,428864068
Maret;PT.  UNITED MOTORS CENTRE;Mini bus;GC415;L 1129 EP;1271622;1170675; Rp268.653 ; Rp2.710.950 ;Rusak Ringan;2442297;0,11;0,469068834;0,431832067
Maret;PT.  UNITED MOTORS CENTRE;Ambulance;GC415;L 1905 BP;2563063;2357080; Rp541.216 ; Rp5.461.359 ;Rusak Sedang;4920143;0,11;0,46930867;0,431592231
Maret;PT.  UNITED MOTORS CENTRE;Pick Up;SL415;L 9124 BP;7310832;1781605; Rp1.000.168 ; Rp10.092.605 ;Rusak berat;9092437;0,11;0,724375119;0,176525782
Maret;CV. ASRI;Sedan;CAMRY 2.4 GAT;X 11151 29;1139358;1738045; Rp316.514 ; Rp3.193.917 ;Rusak Ringan;2877403;0,11;0,356727455;0,544173446
Maret;CV. ASRI;Mini Bus;IMV;L 36 AP;1788093;1109937; Rp318.783 ; Rp3.216.813 ;Rusak Ringan;2898030;0,11;0,555858495;0,345042406
Maret;CV. ASRI;Mini Bus;IMV;L 1772 PP;0;405405; Rp44.595 ; Rp450.000 ;Rusak Ringan;405405;0,11;0;0,900900901
Maret;CV. ASRI;Mini Bus;IMV;L 1659 FP;1246552;1524481; Rp304.814 ; Rp3.075.847 ;Rusak Ringan;2771033;0,11;0,405271182;0,495629719
Maret;CV. ASRI;Mini Bus;IMV;L 1047 ZZH;2835879;1078722; Rp430.606 ; Rp4.345.207 ;Rusak sedang;3914601;0,11;0,6526453;0,2482556
Maret;PT. ASTRA INTERNATIONAL - TBK  TOYOTA CABANG BASUKI RAHMAT;Mini bus;IMV;L 19 AP;1727278;1076000; Rp308.360 ; Rp3.111.638 ;Rusak Ringan;2803278;0,11;0,555102489;0,345798579
Maret;PT. ASTRA INTERNATIONAL - TBK  TOYOTA CABANG BASUKI RAHMAT;Mini bus;IMV;L 1718 FP;2921322;1646000; Rp502.404 ; Rp5.069.726 ;Rusak sedang;4567322;0,11;0,576228774;0,324672379
Maret;PT. ASTRA INTERNATIONAL - TBK  TOYOTA CABANG BASUKI RAHMAT;Mini bus;IMV;L 18 BP;3032683;806500; Rp422.310 ; Rp4.261.493 ;Rusak Sedang;3839183;0,11;0,711648007;0,189252921
Maret;PT. ASTRA INTERNATIONAL - TBK  TOYOTA CABANG BASUKI RAHMAT;MINI BUS;IMV;L 1763 PP;3906557;1525000; Rp597.471 ; Rp6.029.028 ;Rusak Sedang;5431557;0,11;0,647958012;0,252942929
Maret;PT. ASTRA INTERNATIONAL - TBK  TOYOTA CABANG BASUKI RAHMAT;Mini bus;IMV;L 7820 NP;2091241;2233000; Rp475.665 ; Rp4.799.906 ;Rusak sedang;4324241;0,11;0,43568374;0,465217444
Maret;PT. ASTRA INTERNATIONAL - TBK  TOYOTA CABANG BASUKI RAHMAT;Mini bus;IMV;L 1857 FP;3155204;1735500; Rp537.977 ; Rp5.428.681 ;Rusak Sedang;4890704;0,11;0,581210058;0,319690916
Maret;PT. ASTRA INTERNATIONAL - TBK  TOYOTA CABANG BASUKI RAHMAT;Mini bus;IMV;L 1037 ZZH;2247095;1625000; Rp425.933 ; Rp4.298.028 ;Rusak Sedang;3872095;0,11;0,52282;0,378080366
Maret;PT. ASTRA INTERNATIONAL - TBK  TOYOTA CABANG BASUKI RAHMAT;Mini bus;IMV;L 1659 FP;6974856;899500; Rp866.180 ; Rp8.740.536 ;Rusak Berat;7874356;0,11;0,797989505;0,102911309
Maret;PT. ASTRA INTERNATIONAL - TBK  ISUZU CABANG HR MUHAMMAD;Mini bus;TBR541;L 1604 FP;1357073;1039532; Rp263.622 ; Rp2.660.227 ;Rusak Ringan;2396605;0,11;0,510134286;0,390768156
Maret;PT. ASTRA INTERNATIONAL - TBK  ISUZU CABANG HR MUHAMMAD;PICK Up;TBR54;L 8820 CP;1719413;1515045; Rp355.792 ; Rp3.590.250 ;Rusak Ringan;3234458;0,11;0,478911775;0,421988719
Maret;PT. ASTRA INTERNATIONAL - TBK  ISUZU CABANG HR MUHAMMAD;Mini bus;Other D;L 1768 EP;3094196;3397243; Rp714.058 ; Rp7.205.497 ;Rusak Sedang;6491439;0,11;0,429421593;0,471479344
